page,level,chinese,english,code
694,3,"弓形韧带(脊柱)—省略编码","arcuate ligament (spine)-omit code",
694,3,"骨—另见骨切开术","bone-see also Osteotomy",77.30
694,3,"鼓膜","tympanum",20.23
694,2,"关节囊","joint capsule",80.40
694,3,"踝","ankle",80.47
694,3,"肩","shoulder",80.41
694,3,"髋","hip",80.45
694,3,"手和手指","hand and finger",80.44
694,3,"特指部位 NEC","specified site NEC",80.49
694,3,"腕","wrist",80.43
694,3,"膝","knee",80.46
694,3,"肘","elbow",80.42
694,3,"足和趾","foot and toe",80.48
694,2,"虹膜后粘连","posterior synechiae",12.33
694,2,"虹膜前房角粘连","goniosynechiae",12.31
694,2,"虹膜前粘连","anterior synechiae",12.32
694,2,"喉的神经(外)(复发性)(上)","laryngeal nerve (external) (recurrent) (superior)",31.91
694,2,"黄韧带(脊柱)—省略编码","ligamentum flavum (spine)-omit code",
694,2,"肌","muscle",83.19
694,3,"手","hand",82.19
694,2,"脊髓的","spinal",
694,3,"脊髓神经束","cord tracts",03.29
694,4,"经皮的","percutaneous",03.21
694,3,"神经根","nerve root",03.1
694,2,"睑缝合术","blepharorrhaphy,canthorrhaphy",08.02
694,2,"睑球粘连(伴载置体插入)","symblepharon (with insertion of conformer)",10.5
694,2,"腱","tendon",83.13
694,3,"跟","Achilles",83.11
694,3,"内收肌(髋)","adductor (hip)",83.12
694,3,"手","hand",82.11
694,2,"腱膜","aponeurosis",83.13
694,2,"腱索","chordae tendineae",35.32
694,2,"筋膜","fascia",83.14
694,3,"手","hand",82.12
694,2,"静脉(伴结扎)","vein (with ligation)",38.80
694,3,"腹","abdominal",38.87
694,3,"静脉曲张","varicose",38.50
694,4,"腹的","abdominal",38.57
694,4,"颅内的 NEC","intracranial NEC",38.51
694,4,"上肢","upper limb",38.53
695,4,"头和颈 NEC","head and neck NEC",38.52
695,4,"下肢","lower limb",38.59
695,4,"胸的 NEC","thoracic NEC",38.55
695,3,"颅内的 NEC","intracranial NEC",38.81
695,3,"上肢","upper limb",38.83
695,3,"头和颈 NEC","head and neck NEC",38.82
695,3,"下肢","lower limb",38.89
695,3,"静脉曲张","varicose",38.59
695,4,"胸的 NEC","thoracic NEC",38.85
695,2,"括约肌","sphincter",
695,3,"奥狄","of Oddi",51.82
695,3,"内镜","endoscopic",51.85
695,3,"贲门的","cardiac",42.7
695,3,"肛门的(外的)(内的)","anal (external) (internal)",49.59
695,4,"后的","posterior",49.52
695,4,"左侧的","left lateral",49.51
695,3,"胰腺","pancreatic",51.82
695,4,"内镜","endoscopic",51.85
695,2,"泪腺","lacrimal ductules",09.0
695,2,"泪小管","canaliculus",09.52
695,2,"脑膜(脑的)","meninges (cerebral)",01.31
695,2,"脑束","cerebral tracts",01.32
695,2,"脑组织","brain tissue",01.32
695,2,"皮质粘连","cortical adhesions",02.91
695,2,"内收肌腱(髋)","adductor tendon (hip)",83.12
