"page","level","chinese","english","code"
594,1,"结肠直肠乙状结肠吻合术","Colorectosigmoidostomy","45.94"
594,1,"结膜鼻腔吻合术","Conjunctivorhinostomy","09.82"
594,2,"伴管或支架插入","with insertion of tube or stent","09.83"
594,1,"结膜成形术","Conjunctivoplasty","10.49"
594,1,"结膜滚压","Rolling of conjunctiva","10.33"
594,1,"结膜泪囊鼻腔吻合术(CDCR)","Conjunctivodacryocystorhinostomy (CDCR)","09.82"
594,2,"伴管或支架插入","with insertion of tube or stent","09.83"
594,1,"结膜泪囊吻合术","Conjunctivocystorhinostomy, Conjunctivodacryocystostomy","09.82"
594,2,"伴管或支架插入","with insertion of tube or stent","09.83"
594,1,"结扎","Ligation",""
594,2,"出血的血管-见控制,出血","bleeding vessel-see Control, hemorrhage",""
594,2,"动静脉瘘","arteriovenous fistula","39.53"
594,3,"冠状动脉","coronary artery","36.99"
594,2,"动脉","artery","38.80"
594,3,"腹","abdominal","38.86"
594,3,"冠状(异常的)","coronary (anomalous)","36.99"
594,3,"甲状腺","thyroid","06.92"
594,3,"颈外动脉","external carotid","21.06"
594,3,"颅内 NEC","intracranial NEC","38.81"
594,3,"筛的","ethmoidal","21.04"
594,3,"上颌(经鼻窦的)","maxillary (transantral)","21.05"
594,3,"上肢","upper limb","38.83"
594,3,"肾上腺","adrenal","07.43"
594,3,"头和颈 NEC","head and neck NEC","38.82"
594,3,"下肢","lower limb","38.88"
594,3,"胸 NEC","thoracic NEC","38.85"
594,3,"用于鼻出血控制-见控制,鼻出血","for control of epistaxis-see Control, epistaxis",""
594,3,"中脑膜","middle meningeal","02.13"
594,3,"主动脉(弓)(升)(降)","aorta (arch) (ascending) (descending)","38.84"
594,2,"动脉导管未闭","ductus arteriosus, patent","38.85"
594,2,"动脉瘤","aneurysm","39.52"
594,2,"多余指","supernumerary digit","86.26"
594,2,"冠状","coronary",""
594,3,"动脉(异常的)","artery (anomalous)","36.99"
594,3,"窦","sinus","36.39"
