page,level,chinese,english,code
709,2,"牙齿的","dental",96.54
709,2,"切除的,NOS","excisional, NOS",86.22
709,3,"髌骨","patella",77.66
709,3,"带蒂皮瓣移植","pedicle graft",86.75
709,3,"腹壁","abdominal wall",54.3
709,3,"感染(皮肤)","infection (skin)",86.22
709,4,"指(趾)甲床或褶","nail (bed) (fold)",86.27
709,3,"骨-另见切除术,病损,骨","bone-see also Excision, lesion, bone",77.60
709,3,"骨折-见清创术,开放性骨折","fracture-see Debridement, open fracture",
709,3,"关节-见切除术,病损,关节","joint-see Excision, lesion, joint",
709,3,"肌肉","muscle",83.45
709,4,"手","hand",82.36
709,3,"脊索(脑膜)","spinal cord (meninges)",03.4
709,3,"腱","tendon",83.39
709,3,"筋膜","fascia",83.44
709,3,"开放性骨折(复合性)","open fracture (compound)",79.60
709,4,"臂","arm NEC",79.62
709,4,"尺骨","ulna",79.62
709,4,"腓骨","fibula",79.66
709,4,"跗骨,跖骨","tarsal, metatarsal",79.67
709,4,"肱骨","humerus",79.61
709,4,"股骨","femur",79.65
709,4,"胫骨","tibia",79.66
709,4,"面骨","facial bone",76.2
709,4,"桡骨","radius",79.62
709,4,"手 NEC","hand NEC",79.63
709,4,"特指部位 NEC","specified site NEC",79.69
709,4,"腿 NEC","leg NEC",79.66
709,4,"腕骨,掌骨","carpal, metacarpal",79.63
709,4,"趾骨","phalanges",
709,5,"手","hand",79.64
709,5,"足","foot",79.68
709,5,"足 NEC","foot NEC",79.67
709,3,"颅骨","skull",01.25
709,3,"复合性骨折","compound fracture",02.02
709,3,"脑","brain",01.59
709,3,"脑膜(大脑的)","meninges (cerebral)",01.51
709,4,"脊髓的","spinal",03.4
709,2,"脑脑膜","cerebral meninges",01.51
709,2,"黏液囊","bursa",83.5
709,2,"皮瓣移植","flap graft",86.75
710,3,"皮肤或皮下组织(烧伤)(感染)(伤口)","skin or subcutaneous tissue (burn) (infection) (wound)",86.22
710,3,"复律器/除颤器(自动的)囊袋","cardioverter/defibrillator (automatic) pocket",37.79
710,3,"囊袋","pocket",
710,4,"复律器/除颤器(自动的)","cardioverter/defibrillator (automatic)",37.79
710,4,"心脏起搏器","cardiac pacemaker",37.79
710,4,"心脏装置 NEC","cardiac device NEC",37.79
710,4,"起搏器囊袋","pacemaker pocket",37.79
710,3,"移植","graft",86.75
710,3,"指甲,指甲床,或指甲褶","nail, nail bed, or nail fold",86.27
710,2,"伤口(皮肤)","wound (skin)",86.22
710,2,"烧伤(皮肤)","burn (skin)",86.22
710,2,"神经(周围的)","nerve (peripheral)",04.07
