page,level,chinese,english,code
839,1,"胸膜松解术(用于肺萎陷)","Pleurolysis (for collapse of lung)",33.39
839,1,"胸膜硬化术(治疗气胸)","Pleurosclerosis",34.6
839,2,"化学的","chemical",34.92
839,3,"用癌瘤化学疗法物质","with cancer chemotherapy substance",34.92[99.25]
839,4,"四环素","tetracycline",34.92[99.21]
839,1,"胸膜粘连术","Pleurodesis",34.6
839,2,"化学的","chemical",34.92
839,3,"用癌瘤化学疗法物质","with cancer chemotherapy substance",34.92[99.25]
839,4,"四环素","tetracycline",34.92[99.21]
839,1,"胸腔穿刺术","Pleurocentesis, Thoracocentesis, Thoracentesis",34.91
839,1,"胸腔镜检查,经胸膜(用于探查术)","Thoracoscopy, transpleural (for exploration)",34.21
839,1,"胸腺切除术","Thymectomy",07.80
839,2,"经颈","transcervical",07.99
839,2,"全部(开放)(其他)","partial (open) (other)",07.81
839,3,"胸腔镜的","thoracoscopic",07.83
839,2,"全部(开放)(其他)","total (open) (other)",07.82
839,3,"胸腔镜的","thoracoscopic",07.84
839,1,"修补术","Repair",
839,2,"白内障术后伤口裂开","postcataract wound dehiscence",11.52
839,3,"伴结膜瓣","with conjunctival flap",11.53
839,2,"鼻(外)(内的)(整形的) NEC—另见鼻成形术","nose (external) (internal) (plastic) NEC-see also Rhinoplasty",21.89
839,3,"撕裂(经缝合)","laceration (by suture)",21.81
839,2,"鼻唇皮瓣(整形的)","nasolabial flaps (plastic)",21.86
839,2,"鼻的","nasal",
839,3,"窦 NEC","sinus NEC",22.79
839,4,"瘘","fistula",22.71
839,3,"隔(穿孔) NEC","septum (perforation) NEC",21.88
839,2,"鼻咽闭锁","nasopharyngeal atresia",29.4
839,2,"并趾","syndactyly",86.85
839,2,"肠,肠 NEC","intestine, intestinal NEC",46.79
839,3,"口—见修补术,口","stoma-see Repair, stoma",
839,3,"瘘—见闭合,瘘,肠","fistula-see Closure, fistula, intestine",
839,3,"撕裂","laceration",
839,4,"大肠","large intestine",46.75
839,4,"小肠 NEC","small intestine NEC",46.73
839,2,"肠膨出(女性)","enterocele (female)",70.92
839,3,"伴移植物或假体","with graft or prosthesis",70.93
840,3,"男性","male",53.9
840,2,"肠系膜","mesentery",54.75
840,2,"肠造口术","enterostomy",46.40
840,2,"重叠趾","overlapping toe",77.58
840,2,"处女膜","hymen",70.76
840,2,"槌状指","mallet finger",82.84
840,2,"锤状趾","hammer toe",77.56
840,2,"唇 NEC","lip NEC",27.59
840,3,"裂","cleft",27.54
840,3,"撕裂(经缝合)","laceration (by suture)",27.51
840,2,"大血管 NEC","great vessels NEC",39.59
840,3,"撕裂(经缝合)","laceration (by suture)",39.30
840,4,"动脉","artery",39.31
840,4,"静脉","vein",39.32
840,2,"胆管 NEC","bile duct NEC",51.79
840,3,"撕裂(经缝合) NEC","laceration (by suture) NEC",51.79
840,4,"胆总管","common bile duct",51.71
840,2,"胆囊","gallbladder",51.91
840,2,"导联(心的) NEC","leads (cardiac) NEC",37.75
840,2,"道格拉斯凹","pouch of Douglas",70.52
840,2,"第一型心房中隔缺损","primum ostium defect",35.73
840,3,"伴","with",
840,4,"假体","prosthesis",35.54
840,4,"组织移植","tissue graft",35.63
840,2,"动静脉瘘","arteriovenous fistula",39.53
840,3,"经或伴","by or with",
840,4,"闭塞","occlusion",39.53
840,5,"血管内入路","endovascular approach",39.79
840,6,"头和颈","head and neck",39.72
840,4,"缝合","suture",39.53
840,4,"结扎","ligation",39.53
840,5,"冠状动脉","coronary artery",36.99
840,4,"凝固术","coagulation",39.53
840,4,"钳夹","clipping",39.53
840,4,"切除术或切除术—另见动脉瘤切除术,伴移植","excision or resection-see also Aneurysmectomy, by site",
840,5,"伴","with",
840,6,"吻合—见动脉瘤切除术,伴吻合,按部位","anastomosis-see Aneurysmectomy, with anastomosis, by site",
840,6,"移植物置换—见动脉瘤切除术,伴移植物置换,按部位","graft replacement-see Aneurysmectomy, with graft replacement, by site",
840,5,"切断","division",39.53
841,4,"弹簧圈,NEC(血管内入路)","coil, NEC (endovascular approach)",39.79
841,5,"头和颈血管","head and neck vessels",
841,6,"裸弹簧圈","bare coils",39.75
841,6,"生物活性弹簧圈","bioactive coils",39.76
841,2,"动脉 NEC","artery NEC",39.59
841,3,"伴","with",
841,4,"补片移植","patch graft",39.58
841,4,"伴切除术或血管切除术—见动脉切除术,伴移植物置换,按部位","with excision or resection of vessel-see Arteriectomy, with graft replacement, by site",
841,4,"人造的(涤纶)(聚四氟乙烯)","synthetic (Dacron) (Teflon)",39.57
841,4,"组织(静脉)(自体的)(自体移植)","tissue (vein) (autogenous) (homograft)",39.56
841,4,"缝合","suture",39.31
841,3,"冠状 NEC","coronary NEC",36.99
841,4,"经动脉粥样硬化切除术—见血管成形术,冠状","by atherectomy-see Angioplasty, coronary",
