page,level,chinese,english,code
504,3,"经皮入路,颅内血管","percutaneous approach, extracranial vessel(s)",00.61
504,3,"经皮入路,入脑前的(颅外)血管","percutaneous approach, intracranial vessel(s)",00.62
504,2,"下肢","lower limb",38.18
504,2,"胸的NEC","thoracic NEC",38.15
504,2,"主动脉(弓)(升)(降)","aorta (arch) (ascending) (descending)",38.14
504,1,"动脉切除术","Arteriectomy",38.60
504,2,"伴","with",
504,3,"吻合术","anastomosis",38.30
504,4,"腹","abdominal",38.36
504,4,"颅内的NEC","intracranial NEC",38.31
504,4,"上肢","upper limb",38.33
504,4,"头和颈NEC","head and neck NEC",38.32
504,4,"下肢","lower limb",38.38
504,4,"胸的NEC","thoracic NEC",38.35
504,4,"主动脉(弓)(升)(降)","aorta (arch) (ascending) (descending)",38.34
504,3,"移植物置换(插补)","graft replacement (interposition)",38.40
504,4,"腹的","abdominal",
504,5,"主动脉","aorta",38.44
504,4,"颅内的NEC","intracranial NEC",38.41
504,4,"上肢","upper limb",38.43
504,4,"头和颈NEC","head and neck NEC",38.42
504,4,"下肢","lower limb",38.48
504,4,"胸的NEC","thoracic NEC",38.45
504,4,"主动脉(弓)(升)(降胸)","aorta (arch) (ascending) (descending thoracic)",
504,5,"腹的","abdominal",38.44
504,5,"胸的","thoracic",38.45
504,5,"胸腹的","thoracoabdominal",38.45[38.44]
504,2,"腹的","abdominal",38.66
504,2,"颅内的NEC","intracranial NEC",38.61
504,2,"上肢","upper limb",38.63
504,2,"头和颈NEC","head and neck NEC",38.62
505,2,"下肢","lower-limb",38.68
505,2,"胸的NEC","thoracic NEC",38.65
505,2,"主动脉(弓)(升)(降)","aorta (arch) (ascending) (descending)",38.64
505,1,"动脉切开术","Arteriotomy",38.00
505,2,"腹的","abdominal",38.06
505,2,"颅内的NEC","intracranial NEC",38.01
505,2,"上肢","upper limb",38.03
505,2,"头和颈NEC","head and neck NEC",38.02
505,2,"下肢","lower limb",38.08
505,2,"胸的NEC","thoracic NEC",38.05
505,2,"主动脉(弓)(升)(降)","aorta (arch) (ascending) (descending)",38.04
505,1,"动脉圆锥切除术","Infundibulectomy",
505,2,"垂体-另见垂体切除术,部分","hypophyseal-see also Hypophysectomy, partial",07.63
505,2,"心室(心脏)(右)","ventricle (heart) (right)",35.34
505,3,"法洛四联症全部修补术","in total repair of tetralogy of Fallot",35.81
505,1,"动脉造影术(对比)(荧光镜的)(逆行的)","Arteriography (contrast) (fluoroscopic) (retrograde)",88.40
505,2,"SPY(术间造影系统),冠状动脉","SPY, coronary",88.59
505,2,"臂的","brachial",88.49
505,2,"肠系膜上动脉","superior mesenteric artery",88.47
505,2,"超声-见超声波检查,按部位","ultrasound-see Ultrasonography, by site",
505,2,"多普勒(超声)-见超声波检查,按部位","Doppler (ultrasonic)-see Ultrasonography, by site",
505,2,"放射性核素-见扫描,放射性核素","radioisotope-see Scan, radioisotope",
505,2,"肺动脉","pulmonary",88.43
505,2,"腹内的NEC","intra-abdominal NEC",88.47
505,2,"股动脉","femoral",88.48
