page,level,chinese,english,code
724,4,"血管内入路","endovascular approach",39.74
724,3,"牛移植物","bovine graft",39.49
724,3,"上肢(动脉)(静脉)","upper limb (artery) (vein)",38.03
724,3,"头和颈血管","head and neck vessel",
724,4,"切开入路,颅内血管","open approach, intracranial vessels",38.01
724,4,"切开入路,头和颈其他血管","open approach, other vessels of head and neck",38.02
724,4,"血管内入路","endovascular approach",39.74
724,3,"下肢","lower limb",
724,4,"动脉","artery",38.08
724,4,"静脉","vein",38.09
724,3,"胸血管 NEC","thoracic vessel NEC",38.05
724,3,"主动脉(弓)(升)(降)","aorta (arch) (ascending) (descending)",38.04
724,2,"司克利卜分流","Scribner shunt",39.43
724,2,"死骨-见死骨切除术","sequestrum-see Sequestrectomy",
724,2,"胎儿,异位-见去除,异位胎儿","fetus, ectopic-see Removal, ectopic fetus",
724,2,"胎盘(经)","placenta (by)",
724,3,"抽吸刮宫","aspiration curettage",69.52
724,3,"手法的","manual",75.4
724,3,"子宫颈扩宫和刮宫","D and C",69.02
724,2,"套管","cannula",
724,3,"用于体外膜氧化(ECMO)-省略编码","for extracorporeal membrane oxygenation (ECMO)-omit code",
724,2,"填充块(水泥)(关节)","spacer (cement) (joint) (methylmethacrylate)",84.57
724,2,"蜕膜(经)","decidua (by)",
724,3,"抽吸刮宫","aspiration curettage",69.52
724,3,"刮除术(子宫颈扩宫和刮宫)","curettage (D and C)",69.02
724,3,"手法的","manual",75.4
724,2,"椭圆囊","utricle",20.79
724,2,"瓦格纳布鲁克微型固定装置(骨)-见亚目","Wagner-Brooker minifixator device (bone)-see subcategory",78.6
724,2,"外固定装置","external fixation device",97.88
724,3,"微型固定(骨)-见亚目","minifixator (bone)-see subcategory",78.6
724,3,"下颌骨的 NEC","mandibular NEC",97.36
724,2,"微型固定装置(骨)-见亚目","minifixator device (bone)-see subcategory",78.6
724,3,"外固定装置","external fixation device",97.88
724,2,"胃带(可调节性),腹腔镜","gastric band (adjustable), laparoscopic",44.97
725,2,"胃泡(球囊)","gastric bubble (balloon)",44.94
725,2,"文凯钳(颅骨)","Vinke tongs (skull)",02.95
725,3,"同时伴置换","with synchronous replacement",02.94
725,2,"希罗德卡缝合,子宫颈","Shirodkar suture, cervix",69.96
725,2,"息肉-另见切除术,病损,按部位","polyp-see also Excision, lesion, by site",
725,3,"鼻的","nasal",21.31
725,3,"肠","intestine",45.41
725,4,"内镜的","endoscopic",45.42
725,3,"食管的","esophageal",42.32
725,4,"内镜的","endoscopic",42.33
725,3,"胃的(内镜)","gastric (endoscopic)",43.41
725,2,"腺样增殖体残余","adenoid tag(s)",28.6
725,2,"谢泼德管(耳)","Shepard's tube (ear)",20.1
725,2,"心脏辅助系统","heart assist system",
725,3,"伴置换","with replacement",37.63
