page,level,chinese,english,code
489,4,"伴首次电池包植入-省略编码","with initial insertion of battery package-omit code",
489,4,"新部位(皮肤)(皮下)","new site (skin) (subcutaneous)",86.09
489,3,"心脏起搏器","cardiac device (defibrillator) (pacemaker)",
489,4,"伴首次起搏器植入-省略编码","with initial insertion of cardiac device-omit code",
489,4,"新部位(皮肤)(皮下)","new site (skin) (subcutaneous)",37.79
489,3,"循环记录器","loop recorder",37.79
489,2,"皮下隧道用于食管吻合术","subcutaneous tunnel for esophageal anastomosis",42.86
489,3,"伴吻合-见吻合术,食管,胸骨前","with anastomosis-see Anastomosis, esophagus, antesternal",
489,2,"气管食管的瘘","tracheoesophageal fistula",31.95
489,2,"丘脑刺激器脉搏发生器囊袋","thalamic stimulator pulse generator",
489,3,"伴首次电池包植入-省略编码","with initial insertion of battery package-omit code",
489,3,"新部位(皮肤)(皮下)","new site (skin) (subcutaneous)",86.09
489,2,"食管胃括约肌功能NEC","esophagogastric sphincteric competence NEC",44.66
489,3,"腹腔镜","laparoscopic",44.67
489,2,"心包窗","pericardial window",37.12
489,2,"心房间隔瘘","interatrial fistula",35.42
489,2,"心脏装置(除颤器)(起搏器)囊袋","cardiac device (defibrillator) (pacemaker) pocket",
489,3,"伴首次植入心脏装置-省略编码","with initial insertion of cardiac device-omit code",
489,3,"新部位(皮肤)(皮下)","new site (skin) (subcutaneous)",37.79
489,2,"胸膜窗,为了引流","pleural window, for drainage",34.09
489,2,"直肠内回肠凹(J形凹)(H形凹)(S形凹)(伴与肛门吻合)","endorectal ileal pouch (J-pouch) (H-pouch) (S-pouch) (with anastomosis to anus)",45.95
489,1,"吹入法","Insufflation",
489,2,"输卵管(空气)(染色)(气体)(盐水)","fallopian tube (air) (dye) (gas) (saline)",66.8
489,3,"用于放射照相术-见子宫输卵管放射照相术","for radiography-see Hysterosalpingography",
489,3,"治疗性物质","therapeutic substance",66.95
489,2,"咽鼓管","Eustachian tube",20.8
489,2,"腰腹膜后的,双侧","lumbar retroperitoneal, bilateral",88.15
489,1,"垂体冷凝破坏术(完全)(全部)-另见垂体切除术","Cryohypophysectomy (complete) (total)-see also Hypophysectomy",07.69
489,1,"垂体切除术(完全)(全部)","Hypophysectomy (complete) (total)",07.69
489,2,"部分或大部","partial or subtotal",07.63
489,3,"经蝶窦入路","transsphenoidal approach",07.62
490,3,"经前额入路","transfrontal approach",07.61
490,2,"经蝶窦入路(完全)(全部)","transsphenoidal approach (complete) (total)",07.65
490,3,"部分的","partial",07.62
490,2,"经前额入路(完全)(全部)","transfrontal approach (complete) (total)",07.64
490,3,"一部分的","partial",07.61
490,2,"特指入路NEC","specified approach NEC",07.68
490,1,"垂体切除术(完全的)(全部的)-另见垂体切除术","Pituitectomy (complete) (total)-see also Hypophysectomy",07.69
490,1,"唇成形术","Cheiloplasty",27.59
490,1,"唇读训练","Lip reading training",95.49
490,1,"唇缝合术","Cheilorrhaphy",27.51
490,1,"唇口成形术","Cheilostomatoplasty",27.59
490,1,"唇切开术","Cheilotomy",27.0
490,1,"唇削薄","Lip shave",27.43
490,1,"戳孔,肋间的","Stab, intercostal",34.09
490,1,"磁共振影像(核子的)-见影像,磁共振","Magnetic resonance imaging (nuclear)-see Imaging, magnetic resonance",
490,1,"磁吸术","Magnet extraction",
490,2,"异物","foreign body",
490,3,"玻璃体","vitreous",14.01
490,3,"巩膜","sclera",12.01
490,3,"虹膜","iris",12.01
490,3,"角膜","cornea",11.0
490,3,"结膜","conjunctiva",98.22
490,3,"睫状体","ciliary body",12.01
490,3,"晶状体","lens",13.01
490,3,"眶","orbit",98.21
490,3,"脉络膜","choroid",14.01
490,3,"前房,眼","anterior chamber, eye",12.01
490,3,"视网膜","retina",14.01
490,3,"眼,眼球NEC","eye, eyeball NEC",98.21
490,4,"后节","posterior segment",14.01
490,4,"前节","anterior segment",12.01
490,4,"眼内的(前节)","intraocular (anterior segment)",12.01
490,1,"刺激(电的)-另见植入,电刺激器","Stimulation (electronic)-see also Implant, electronic stimulator",
490,2,"CaverMap","CaverMap",89.58
490,2,"除颤器","defibrillator",
490,3,"导管侵入性电生理测定","catheter based invasive electrophysiologic testing",37.26
491,3,"非侵入性程序化电刺激(NIPS)","noninvasive programmed electrical stimulation (NIPS)",37.20
491,3,"仅装置感知而不诱发心律失常(床旁检查)","device interrogation only without arrhythmia induction (bedside check)",89.45-89.49
491,3,"作为手术中的测定-省略编码","as part of intraoperative testing-omit code",
491,2,"电生理,心的","electrophysiologic, cardiac",
