"page","level","chinese","english","code"
614,2,"维尔松管","Wirsung's duct","52.99"
614,3,"内镜","endoscopic","52.98"
614,2,"胃空肠吻合术部位,(内镜)","gastrojejunostomy site, endoscopic","44.22"
614,2,"涎腺管","salivary duct","26.91"
614,2,"心脏瓣膜-见瓣膜切开术,心脏","heart valve-see Valvulotomy, heart",""
614,2,"咽","pharynx","29.91"
614,2,"胰腺管","pancreatic duct","52.99"
614,3,"内镜","endoscopic","52.98"
614,2,"阴道(器械)(手法的)NEC","vagina (instrumental) (manual) NEC","96.16"
614,2,"幽门","pylorus",""
614,3,"经切开","by incision","44.21"
614,3,"内镜","endoscopic","44.22"
614,2,"支气管","bronchus","33.91"
614,2,"直肠","rectum","96.22"
614,2,"子宫颈(管)","cervix (canal)","67.0"
614,3,"帮助分娩","to assist delivery","73.1"
614,4,"产科的","obstetrical","73.1"
614,1,"Labbe 手术(胃切开术)","Labbe operation (gastrotomy)","43.0"
614,1,"Ladd 手术(肠松动术)","Ladd operation (mobilization of intestine)","54.95"
614,1,"Lagrange 手术(虹膜巩膜切除术)","Lagrange operation (iridosclerectomy)","12.65"
614,1,"Lambrinudi 手术(三关节固定术)","Lambrinudi operation (triple arthrodesis)","81.12"
614,1,"Langenbeck 手术(腭裂修补术)","Langenbeck operation (cleft palate repair)","27.62"
614,1,"Lapidus 手术(踇囊趾切除术伴跖骨切开术)","Lapidus operation (bunionectomy with metatarsal osteotomy)","77.51"
614,1,"Larry 手术(肩关节离断)","Larry operation (shoulder disarticulation)","84.08"
614,1,"Lash 手术","Lash operation",""
614,2,"腹腔镜子宫颈上子宫切除术","laparoscopic supracervical hysterectomy","68.31"
614,2,"子宫颈内口修补术","internal cervical os repair","67.59"
614,1,"LASIK (准分子激光角膜原位磨镶术)","LASIK (Laser-assisted in situ keratomileusis)","11.71"
614,1,"Latzko 手术","Latzko operation",""
614,2,"剖宫产术","cesarean section","74.2"
614,2,"阴道闭合术","colpocleisis","70.8"
615,1,"Leadbetter-Politano 手术(输尿管膀胱吻合术)","Leadbetter-Politano operation (ureteroneocystostomy)","56.74"
615,1,"Leadbetter 手术(尿道再建造术)","Leadbetter operation (urethral reconstruction)","58.46"
615,1,"Le Fort 手术(阴道闭合术)","Le Fort operation (colpocleisis)","70.8"
615,1,"Le Mesurier 手术(唇裂修补术)","Le Mesurier operation (cleft lip repair)","27.54"
615,1,"Leriche 手术(周围动脉交感神经切除术)","Leriche operation (periarterial sympathectomy)","05.25"
615,1,"Lindholm 手术(裂伤的肌腱修补术)","Lindholm operation (repair of ruptured tendon)","83.88"
615,1,"Linton 手术(静脉曲张)","Linton operation (varicose vein)","38.59"
615,1,"Lisfranc 手术","Lisfranc operation",""
615,2,"肩关节离断","shoulder disarticulation","84.08"
615,2,"足截断术","foot amputation","84.12"
615,1,"Littlewood 手术(前肢截断术)","Littlewood operation (forequarter amputation)","84.09"
615,1,"Lloyd-Davies 手术(腹会阴切除术),NOS","Lloyd-Davies operation (abdominoperineal resection),NOS","48.50"
615,2,"腹腔镜的","laparoscopic","48.51"
615,2,"开放性","open","48.52"
615,2,"其他","other","48.59"
615,1,"Longmire 手术(胆管吻合术)","Longmire operation (bile duct anastomosis)","51.39"
615,1,"Lord 手术","Lord operation",""
615,2,"肛门扩张,用于痔","dilation of anal canal for hemorrhoids","49.49"
615,2,"睾丸固定术","orchidopexy","62.5"
615,2,"痔切除术","hemorrhoidectomy","49.49"
615,1,"Lucas 和 Murray 手术(膝关节固定术,用金属板)","Lucas and Murray operation (knee arthrodesis with plate)","81.22"
615,1,"拉贝手术-见 Labbe 手术","拉贝手术- see Labbe operation",""
615,1,"拉茨科手术-见 Latzko 手术","拉茨科手术- see Latzko operation",""
615,1,"拉德手术-见 Ladd 手术","拉德手术- see Ladd operation",""
615,1,"拉格兰奇手术-见 Lagrange 手术","拉格兰奇手术- see Lagrange operation",""
615,1,"拉紧,眼睑用于脸内翻","Tautening, eyelid for entropion","08.42"
615,1,"拉紧,眼轮匝肌","Tensing, orbicularis oculi","08.59"
615,1,"拉里手术-见 Larry 手术","拉里手术- see Larry operation",""
615,1,"拉马迪尔手术-见 Ramadier 手术","拉马迪尔手术- see Ramadier operation",""
615,1,"拉姆斯特德特手术-见 Ramstedt 手术","拉姆斯特德特手术- see Ramstedt operation",""
615,1,"拉皮德斯手术-见 Lapidus 手术","拉皮德斯手术- see Lapidus operation",""
615,1,"拉塞手术-见 Russe 手术","拉塞手术- see Russe operation",""
615,1,"拉什金德手术-见 Rashkind 手术","拉什金德手术- see Rashkind operation",""
616,1,"拉什手术-见 Lash 手术","拉什手术- see Lash operation",""
616,1,"拉斯特里手术-见 Rastelli 手术","拉斯特里手术- see Rastelli operation",""
616,1,"拉兹-佩雷亚手术-见 Raz-Pereyra 操作","拉兹-佩雷亚手术- see Raz-Pereyra procedure",""
616,1,"兰布里努迪手术-见 Lambrinudi 手术","兰布里努迪手术- see Lambrinudi operation",""
616,1,"兰根贝克手术-见 Langenbeck 手术","兰根贝克手术- see Langenbeck operation",""
616,1,"兰金手术-见 Rankin 手术","兰金手术- see Rankin operation",""
616,1,"阑尾盲肠吻合术","Appendicocecostomy","47.91"
616,1,"阑尾切除术(伴引流)","Appendicectomy (with drainage)","47.09"
616,2,"附带的","incidentally","47.19"
616,3,"腹腔镜","laparoscopic","47.11"
616,2,"腹腔镜","laparoscopic","47.01"
616,1,"阑尾切开术","Appendicotomy","47.2"
616,1,"阑尾小肠吻合术","Appendicoenterostomy","47.91"
616,1,"阑尾造口术","Appendicostomy","47.91"
616,2,"闭合","closure","47.92"
616,1,"阑尾粘连松解术","Appendicolysis","54.59"
616,2,"伴阑尾切除术","with appendectomy","47.09"
616,3,"腹腔镜","laparoscopic","47.01"
616,3,"其他","other","47.09"
616,2,"腹腔镜的","laparoscopic","54.51"
616,1,"朗迈尔手术-见 Longmire 手术","朗迈尔手术- see Longmire operation",""
616,1,"劳埃德-戴维斯手术-见 Lloyd-Davies 手术","劳埃德-戴维斯手术- see Lloyd-Davies operation",""
616,1,"勒除,息肉,结肠(内镜)","Snaring, polyp, colon (endoscopic)","45.42"
616,1,"勒福特手术-见 LeFort 手术","勒福特手术- see Le Fort operation",""
616,1,"勒里施手术-见 Leriche 手术","勒里施手术- see Leriche operation",""
616,1,"勒梅热勒手术-见 LeMesurier 手术","勒梅热勒手术- see LeMesurier operation",""
616,1,"肋骨切除术","Costectomy","77.91"
616,2,"伴肺切除术-见切除术,肺","with lung excision-see Excision, lung",""
616,2,"与胸部手术有关的一省略编码","associated with thoracic operation-omit code",""
616,1,"肋骨切开术","Costotomy","77.31"
616,1,"肋骨椎骨横突切除术","Costotransversectomy","77.91"
616,2,"与胸部手术有关的一省略编码","associated with thoracic operation-omit code",""
616,1,"肋软骨切除术","Costochondrectomy","77.91"
