page,level,chinese,english,code
529,3,"义耳装置的基座(螺丝)","abutment (screw) for prosthetic ear device",
529,4,"经皮的","percutaneous",20.99
529,2,"妇科超声造影","Echogynography",88.79
529,2,"复苏","Resuscitation",
529,3,"肺动脉","pulmonary",93.93
529,3,"口对口","mouth-to-mouth",93.93
529,3,"气管内插管","endotracheal intubation",96.04
529,3,"人工呼吸","artificial respiration",93.93
529,3,"手法的","manual",93.93
529,3,"心的","cardiac",99.60
529,4,"去除心脏纤颤","defibrillation",99.62
529,4,"外部按摩","external massage",99.63
529,5,"开胸","open chest",37.91
529,4,"心复率术","cardioversion",99.62
529,5,"心房的","atrial",99.61
529,4,"心内注射","intracardiac injection",37.92
529,3,"心肺","cardiopulmonary",99.60
529,2,"复位","Reposition",
529,3,"复律器/除颤器(自动的)","cardioverter/defibrillator (automatic)",
529,4,"导联(感知)(起搏)(心外膜补片)","lead(s) (epicardial patch) (pacing) (sensing)",37.75
529,4,"脉搏发生器","pulse generator",37.79
529,4,"囊袋","pocket",37.79
529,3,"虹膜","iris",12.39
529,3,"甲状腺组织","thyroid tissue",06.94
529,3,"睫毛底","cilia base",08.71
529,3,"可植入的血流动力学感应器(导线)和监视装置","implantable hemodynamic sensor (lead) and monitor device",37.79
529,3,"皮下装置囊袋 NEC","subcutaneous device pocket NEC",86.09
529,3,"三尖瓣瓣膜(伴折叠术)","tricuspid valve (with plication)",35.14
529,3,"神经刺激器","neurostimulator",
529,4,"导联","leads",
529,5,"骶神经内部或上面","within or over sacral nerve",04.92
529,5,"脊柱内","within spine",03.93
529,5,"脑内","within brain",02.93
529,5,"皮下,不伴装置置换","subcutaneous, without device replacement",86.09
529,5,"胃神经内部或上面","within or over gastric nerve",04.92
529,5,"周围神经内部或上面","within or over peripheral nerve",04.92
529,4,"脉搏发生器","pulse generator",
529,5,"皮下,不伴装置置换","subcutaneous, without device replacement",86.09
530,3,"肾血管,迷行","renal vessel, aberrant",39.55
530,3,"心律再同步化除颤器(CRT-D)—见修复术,心律再同步化除颤器","cardiac resynchronization defibrillator (CRT-D)-see Revision, cardiac resynchronization defibrillator",
530,3,"心律再同步化起搏器(CRT-P)—见修复术,心律再同步化起搏器","cardiac resynchronization pacemaker (CRT-P)-see Revision, cardiac resynchronization pacemaker",
530,3,"心脏起搏器","cardiac pacemaker",
530,4,"电极(心房)(经静脉)(心室)","electrode(s) (atrial) (transvenous) (ventricular)",37.75
530,4,"囊袋","pocket",37.79
530,2,"复位术,减缩术—另见切除术,按部位","Reduction-see also Excision, by site",
530,3,"肠扭结的","volvulus",
530,4,"肠","intestine",46.80
530,5,"大的","large",46.82
530,6,"内镜的(球囊)","endoscopic (balloon)",46.85
530,5,"小的","small",46.81
530,4,"胃","stomach",44.92
530,3,"肠套叠","intussusception (open)",46.80
530,4,"伴","with",
530,5,"超声波检查引导","ultrasonography guidance",96.29
530,5,"电离放射灌肠法","ionizing radiation enema",96.29
530,5,"荧光镜透视检查法","fluoroscopy",96.29
530,5,"充气的","pneumatic",96.29
530,5,"大肠","large intestine",46.82
530,6,"内镜的(球囊)","endoscopic (balloon)",46.85
530,5,"流体静力学的","hydrostatic",96.29
530,5,"小肠","small intestine",46.81
530,3,"倒转,子宫经子宫托","retroversion, uterus by pessary",96.18
530,3,"分离,骺(伴内固定)(闭合的)","separation, epiphysis (with internal fixation) (closed)",79.40
530,4,"腓骨(闭合的)","fibula (closed)",79.46
530,5,"开放性","open",79.56
530,4,"肱骨(闭合的)","humerus (closed)",79.41
530,5,"开放性","open",79.51
530,4,"股骨(闭合的)","femur (closed)",79.45
530,5,"开放性","open",79.55
530,4,"胫骨(闭合的)","tibia (closed)",79.46
530,5,"开放性","open",79.56
530,4,"开放性","open",79.50
530,4,"特指部位(闭合的) NEC—另见亚目","specified site (closed) NEC-see also subcategory",79.4
531,5,"开放性—见亚目","open-see subcategory",79.5
531,3,"骨折(骨)(伴石膏管型)(伴夹板)(伴牵引装置)(闭合的)","fracture (bone) (with cast) (with splint) (with traction device) (closed)",79.00
531,4,"伴内固定","with internal fixation",79.10
531,4,"鼻(闭合的)","nasal (closed)",21.71
531,5,"开放性","open",21.72
531,4,"臂(闭合的) NEC","arm (closed) NEC",79.02
531,5,"伴内固定","with internal fixation",79.12
531,5,"开放性","open",79.22
531,6,"伴内固定","with internal fixation",79.32
531,4,"髌骨(开放)(伴内固定)","patella (open) (with internal fixation)",79.36
531,4,"齿槽突(伴牙齿稳定术)","alveolar process (with stabilization of teeth)",
531,5,"开放性","open",76.77
531,5,"上颌骨(闭合的)","maxilla (closed)",76.73
531,6,"开放性","open",76.77
531,5,"下颌骨(闭合的)","mandible (closed)",76.75
531,6,"开放性","open",76.77
531,4,"尺骨(闭合的)","ulna (closed)",79.02
531,5,"伴内固定","with internal fixation",79.12
531,5,"开放性","open",79.22
531,6,"伴内固定","with internal fixation",79.32
531,4,"腓骨(闭合的)","fibula (closed)",79.06
531,5,"伴内固定","with internal fixation",79.16
531,5,"开放性","open",79.26
531,6,"伴内固定","with internal fixation",79.36
531,4,"跗骨,跖骨(闭合的)","tarsal, metatarsal (closed)",79.07
531,5,"伴内固定","with internal fixation",79.17
531,5,"开放性","open",79.27
