page,level,chinese,english,code
749,2,"圆韧带","round ligament",69.19
749,2,"支气管","bronchus",32.09
749,3,"内镜的","endoscopic",32.01
749,2,"直肠","rectum",48.32
749,3,"根治","radical",48.31
749,2,"痔疮","hemorrhoids",49.43
749,2,"子宫","uterus",68.29
749,2,"子宫骶骨韧带","uterosacral ligament",69.19
749,2,"子宫颈","cervix",67.32
749,2,"子宫内膜植入一见切除术,病损按部位","endometrial implant-see Excision, lesion, by site",
749,2,"子宫输卵管口","uterotubal ostia",66.61
749,1,"绍塔(-阿姆赖克)手术一见 Schauta(Amreich) 手术","绍塔(-阿姆赖克)手术-see Schauta (-Amreich)operation",
749,1,"舌成形术 NEC","Glossoplasty NEC",25.59
749,1,"舌缝合术","Glossorrhaphy",25.51
749,1,"舌固定术","Glossopexy",25.59
749,1,"舌切除术(完全)(全部)","Glossectomy (complete) (total)",25.3
749,2,"部分或大部","partial or subtotal",25.2
749,2,"根治性","radical",25.4
749,1,"舌切开术 NEC","Glossotomy NEC",25.94
749,2,"用于舌系带","for tongue tie",25.91
749,1,"舌系带手术","Tongue tie operation",25.91
749,1,"射毛术(动脉瘤)(Gallagher)","Pilojection (aneurysm) (Gallagher)",39.52
749,1,"摄影术","Photography",89.39
749,2,"眼底","fundus",95.11
749,1,"伸长","Stretching",
749,2,"包皮","foreskin",99.95
749,2,"虹膜","iris",12.63
749,2,"肌肉","muscle",93.27
749,2,"腱","tendon",93.27
749,2,"筋膜","fascia",93.28
749,2,"神经(颅的)(周围的)","nerve (cranial) (peripheral)",04.91
749,2,"眼睑(伴延长)","eyelid (with elongation)",08.71
749,1,"伸展疗法,关节","Hyperextension, joint",93.25
749,1,"神经成形术(颅的)(周围的) NEC","Neuroplasty (cranial) (peripheral) NEC",04.79
749,2,"陈旧性损伤的(延迟修补术)","of old injury (delayed repair)",04.76
749,2,"修复术","revision",04.75
749,1,"神经抽出术 NEC","Neurexeresis NEC",04.07
749,1,"神经缝合术(颅的)(周围的)","Neurorrhaphy (cranial) (peripheral)",04.3
749,1,"神经根切断术(射频)(脊髓的)","Rhizotomy (radiofrequency) (spinal)",03.1
750,2,"三叉的","trigeminal",04.02
750,2,"听神经的","acoustic",04.01
750,1,"神经根切断术","Radicotomy, Radiculectomy, Radiculotomy",03.1
750,1,"神经化学松解术","Chemoneurolysis",04.2
750,1,"神经监测","Neuromonitoring",
750,2,"手术中的","intra-operative",00.94
750,1,"神经节切除术","Ganglionectomy",
750,2,"半月的","gasserian",04.05
750,2,"蝶腭(美克尔)","sphenopalatine (Meckel's)",05.21
750,2,"腱鞘(腕关节)","tendon sheath (wrist)",82.21
750,2,"除手以外的部位","site other than hand",83.31
750,2,"三叉","trigeminal",04.05
750,2,"神经(颅的)(周围的) NEC","nerve (cranial) (peripheral) NEC",04.06
750,3,"交感神经","sympathetic",05.29
750,2,"腰的交感神经","lumbar sympathetic",05.23
750,1,"神经节切开术,三叉(射频)","Ganglionotomy, trigeminal (radiofrequency)",04.02
750,1,"神经冷冻止痛(颅的)(周围的)","Cryoanalgesia nerve (cranial) (peripheral)",04.2
750,1,"神经牵伸术(颅的)(周围的)","Neurectasis (cranial) (peripheral)",04.91
750,1,"神经切除术(颅的)(眶下的)(枕部的)(周围的)(脊髓的) NEC","Neurectomy (cranial) (infraorbital) (occipital) (peripheral) (spinal) NEC",04.07
750,2,"半月神经节后根的","retrogasserian",04.07
750,2,"骶前的","presacral",05.24
750,2,"鼓室的","tympanic",20.91
750,2,"交感的一见交感神经切除术","sympathetic-see Sympathectomy",
750,2,"颈旁的","paracervical",05.22
750,2,"三叉的","trigeminal",04.07
750,2,"视神经睫状体","opticociliary",12.79
750,2,"胃的(迷走神经)一另见迷走神经切断术","gastric (vagus)-see also Vagotomy",44.00
750,1,"神经切断术(颅的)(周围的)(脊髓的) NEC","Neurotomy (cranial) (peripheral) (spinal) NEC",04.04
750,2,"半月神经节后","retrogasserian",04.02
750,2,"交感神经的","sympathetic",05.0
750,2,"泪支","lacrimal branch",05.0
750,2,"前庭的","vestibular",04.01
750,2,"舌咽的","glossopharyngeal",29.92
750,2,"听神经","acoustic",04.01
750,1,"神经束切断术","Tractotomy",
750,2,"脊索(一期)(二期)","spinal cord (one-stage) (two-stage)",03.29
751,2,"经皮的","percutaneous",03.21
751,2,"脑","brain",01.32
751,2,"三叉神经(经皮)(射频)","trigeminal (percutaneous) (radiofrequency)",04.02
751,2,"延髓","medulla oblongata",01.32
751,2,"中脑","mesencephalon",01.32
751,1,"神经松解术(周围神经) NEC","Neurolysis (peripheral nerve) NEC",04.49
751,2,"附管","tarsal tunnel",04.44
