page,level,chinese,english,code
619,3,"高温疗法,用于癌瘤治疗","hyperthermia for cancer treatment",99.85
619,3,"热疗法","heat therapy",93.35
619,3,"物理疗法","physical therapy",93.35
619,3,"治疗性-见超声","therapeutic-see Ultrasound",
619,2,"持续正气道压(CPAP)","continuous positive airway pressure (CPAP)",93.90
619,3,"由","delivered by",
619,4,"气管内管-见亚目","endotracheal tube-see subcategory",96.7
619,4,"气管造口-见亚目","tracheostomy-see subcategory",96.7
619,2,"电抽搐(ETT)","electrotonic (ETT)",94.27
619,2,"电惊厥(ECT)","electroconvulsive (ECT)",94.27
619,2,"电休克(EST)","electroshock (EST)",94.27
619,3,"亚抽搐","subconvulsive",94.26
619,2,"二氧化碳","carbon dioxide",94.25
619,2,"放射","radiation",92.29
619,3,"表浅的(150KVP或小于)","superficial (150 KVP or less)",92.21
619,3,"超高电压","supervoltage",92.24
619,3,"低电压(150KVP或小于)","low voltage (150 KVP or less)",92.21
619,3,"电子,手术中","electron, intra-operative",92.41
619,3,"放射性核素(放射疗法)","radioisotope (teleradiotherapy)",92.23
619,3,"高电压(200~300KVP)","high voltage (200~300 KVP)",92.22
619,3,"光子","photon",92.24
619,3,"接触性(150KVP或小于)","contact (150 KVP or less)",92.21
619,3,"粒子源 NEC","particle source NEC",92.26
619,3,"深(200~300KVP)","deep (200~300 KVP)",92.22
619,3,"视网膜病损","retinal lesion",14.26
619,3,"兆伏电压","megavoltage",92.24
619,3,"中电压","orthovoltage",92.22
619,2,"放射性核素,放射性核素的 NEC","radioisotope, radioisotopic NEC",92.29
619,3,"放射疗法","teleradiotherapy",92.23
619,3,"植入或插入","implantation or insertion",92.27
619,3,"注射或灌输","injection or instillation",92.28
619,2,"高温疗法 NEC","hyperthermia NEC",93.35
619,3,"用于癌治疗","for cancer treatment",99.85
619,2,"高压氧","hyperbaric oxygen",93.95
619,3,"伤口","wound",93.59
619,2,"个人,精神病学的 NEC","individual, psychiatric NEC",94.39
619,3,"用于精神性功能障碍","for psychosexual dysfunction",94.34
619,2,"根管","root canal",23.70
619,3,"伴","with",
619,4,"冲洗","irrigation",23.71
619,4,"根尖切除术","apicoectomy",23.72
620,2,"工业生产","industrial",93.89
620,2,"钴-60","cobalt-60",92.23
620,2,"过饱和氧(SSO2)","SuperOxygenation (SSO2)",00.49
620,2,"过饱和氧","SuperSaturated oxygen",00.49
620,2,"氦","helium",93.98
620,2,"红外线放射","infrared irradiation",93.35
620,2,"呼吸 NEC","respiratory NEC",93.99
620,3,"持续气道正压[CPAP]","continuous positive airway pressure [CPAP]",93.90
620,4,"由","delivered by",
620,5,"气管内管-见亚目","endotracheal tube-see subcategory",96.7
620,5,"气管造口-见亚目","tracheostomy-see subcategory",96.7
620,3,"非侵入性正压(NIPPV)","non-invasive positive pressure (NIPPV)",93.90
620,3,"负压(持续性)[CNP]","negative pressure (continuous) [CNP]",93.99
620,3,"间歇性正压呼吸[IPPB]","intermittent positive pressure breathing [IPPB]",93.91
620,3,"其他持续性(未特指时限)","other continuous invasive (unspecified duration)",96.70
620,4,"用于连续96小时或多","for 96 consecutive hours or more",96.72
620,4,"用于少于连续96小时","for less than 96 consecutive hours",96.71
620,3,"气管内呼吸辅助-见亚目","endotracheal respiratory assistance-see subcategory",96.7
620,3,"双水平正气压[BiPAP]","bi-level positive airway pressure [BiPAP]",93.90
620,4,"由","delivered by",
620,5,"气管内管-见亚目","endotracheal tube-see subcategory",96.7
620,5,"气管造口-见亚目","tracheostomy-see subcategory",96.7
620,3,"氧化一氮","nitric oxide",00.12
620,3,"正末呼气压[PEEP]","positive end expiratory pressure [PEEP]",
620,4,"非侵入的","non-invasive",93.90
620,4,"侵入性-见亚目","invasive-see subcategory",96.7
620,2,"家庭","family",94.42
620,2,"家务","domestic tasks",93.83
620,3,"用于盲","for the blind",93.78
620,2,"间歇性正压呼吸(IPPB)","intermittent positive pressure breathing (IPPB)",93.91
621,2,"教育的(卧床儿童)(残疾的)","educational (bed-bound children) (handicapped)",93.82
621,2,"精神病学的 NEC","psychiatric NEC",94.39
621,3,"药物 NEC","drug NEC",94.25
621,4,"锂","lithium",94.22
621,2,"精神抑制药","neuroleptic",94.23
621,2,"康复 NEC","rehabilitation NEC",93.89
621,2,"来访团组","encounter group",94.44
621,2,"镭(氡)","radium (radon)",92.23
621,2,"锂","lithium",94.22
621,2,"盲康复 NEC","blind rehabilitation NEC",93.78
621,2,"美沙酮","methadone",94.25
621,2,"末正呼气压-见亚目","positive end expiratory pressure-see subcategory",96.7
621,2,"喷雾(吸入)","mist (inhalation)",93.94
621,2,"喷雾器","nebulizer",93.94
621,2,"蛆","maggot",86.28
621,2,"热 NEC","heat NEC",93.35
621,3,"用于癌瘤治疗","for cancer treatment",99.85
621,2,"热敷","hot pack(s)",93.35
621,2,"日常活动","daily living activities",93.83
621,3,"为盲人","for the blind",93.78
621,2,"石蜡浴","paraffin bath",93.35
621,2,"手法操作,骨病的一另见处理,骨病的","manipulative, osteopathic-see also Manipulation, osteopathic",93.67
621,2,"手工艺","manual arts",93.81
621,2,"水氧(AO)","aqueous oxygen (AO)",00.49
621,2,"水蛭","leech",99.99
621,2,"跳舞","dance",93.89
621,2,"听觉 NEC","hearing NEC",95.49
621,2,"团体 NEC","group NEC",94.44
621,3,"用于精神性功能不良","for psychosexual dysfunctions",94.41
621,2,"脱敏","desensitization",94.33
621,2,"脱瘾","detoxification",94.25
621,2,"雾(吸入)","fog (inhalation)",93.94
621,2,"物理 NEC","physical NEC",93.39
621,3,"联合的(未提及组成部分)","combined (without mention of components)",93.38
621,3,"诊断性 NEC","diagnostic NEC",93.09
621,2,"吸入 NEC","inhalation NEC",93.96
621,3,"一氧化氮","nitric oxide",00.12
621,2,"下游系统®","Downstream® system",00.49
622,2,"消退","extinction",94.33
622,2,"哮吼喷雾","croupette, croup tent",93.94
622,2,"行为","behavior",94.33
622,2,"休克","shock",
622,3,"电的","electric",94.27
622,4,"亚抽搐","subconvulsive",94.26
622,3,"化学的","chemical",94.24
622,3,"胰岛素","insulin",94.24
622,2,"训练,精神病学的","conditioning, psychiatric",94.33
622,2,"氧","oxygen",93.96
